id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
861636,09012611161000052001000000U8,ESCUELA DE PREPA ABIERTA,NA,611161,Escuelas de educación media superior del sector privado,6 a 10 personas,EJE VIAL,2 ORIENTE (AVENIDA CANAL DE MIRAMONTES),CALLE,CANNES,CALLE,SAN REMO,CALLE,CARRARA,3233,NA,NA,NA,NA,NA,COLONIA,RESIDENCIA ACOXPA,NA,NA,NA,14300,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,0248,009,5556845516,NA,NA,Fijo,19.29783842,-99.12527985,2010-07
7757232,09015611162000191000000000U5,BACHILLERATO UNIVERSITARIO DEL CENTRO TEATRO DEL PUEBLO,SECRETARIA DE EDUCACIÓN PÚBLICA DE CDMX,611162,Escuelas de educación media superior del sector público,0 a 5 personas,CALLE,REPUBLICA DE VENEZUELA,CALLE,CALLE DEL CARMEN,CALLE,RODRIGUEZ PUEBLA,CALLEJON,CALLEJÓN DE GIRÓN,76,NA,NA,NA,0,NA,COLONIA,CENTRO,NA,NA,NA,06010,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0663,017,NA,GORGE.ORDORICA@EDUCACION.CDMX.GOB.MX,WWW.EDUCACION.CDMX.GOB.MX,Fijo,19.43697759,-99.12810702000002,2019-11
6310410,09002611161000055001000000U2,BACHILLERATO TECNOLOGICO JUSTO SIERRA,BACHILLERATO TECNOLOGICO JUSTO SIERRA AC,611161,Escuelas de educación media superior del sector privado,101 a 250 personas,AVENIDA,ENCARNACIÓN ORTIZ,AVENIDA,ARETILLO,PRIVADA,ÁLAMO,CALLE,GERANIO,NA,NA,NA,NA,NA,NA,COLONIA,ARENAL,NA,NA,NA,02980,09,Ciudad de México,002,Azcapotzalco,0001,Azcapotzalco,0773,016,NA,NA,NA,Fijo,19.46412248,-99.1487616,2010-07
789098,09005611161000283000000000U3,BACHILLERATO TECNOLOGICO GUADALUPE TEPEYAC,NA,611161,Escuelas de educación media superior del sector privado,11 a 30 personas,CALLE,CUAUHTEMOC,CALLE,AQUILES SERDAN,CALZADA,CALZADA DE GUADALUPE,CALLE,MOCTEZUMA,3,B,NA,NA,1,NA,COLONIA,ARAGON LA VILLA,NA,NA,NA,07000,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,1434,005,5557814076,NA,NA,Fijo,19.48146308,-99.11808707,2011-03
934326,09014611151000053010000000U3,BACHILLERATO TECNOLOGICO AZTLÁN,BACHILLERATO TECNICO AZTLAN AC,611161,Escuelas de educación media superior del sector privado,11 a 30 personas,CIRCUITO,INTERIOR (AVENIDA REVOLUCION),CIRCUITO,INTERIOR (AVENIDA PATRIOTISMO),PEATONAL,GOYA,CIRCUITO,INTERIOR (AVENIDA PATRIOTISMO),908,NA,NA,NA,NA,NA,COLONIA,MIXCOAC,NA,NA,NA,03920,09,Ciudad de México,014,Benito Juárez,0001,Benito Juárez,069A,012,NA,NA,NA,Fijo,19.37379585,-99.18775005000002,2014-12
743566,09017611162000046000000000U7,BACHILLERES 10,COLEGIO DE BACHILLERES PLANTEL 10 AEROPUERTO,611162,Escuelas de educación media superior del sector público,101 a 250 personas,AVENIDA,ADOLFO LOPEZ MATEOS,EJE VIAL,1 NORTE (MIGUEL LEBRIJA),EJE VIAL,4 ORIENTE (RIO CHURUBUSCO),EJE VIAL,1 NORTE (MIGUEL LEBRIJA),NA,SN,NA,NA,NA,NA,COLONIA,AMPL AVIACION CIVIL,NA,NA,NA,15740,09,Ciudad de México,017,Venustiano Carranza,0001,Venustiano Carranza,1030,028,5557006755,NA,NA,Fijo,19.41391196,-99.07499190999998,2010-07
7757231,09015611162000182000000000U4,BACHILLERATO UNIVERSITARIO TEATRO DEL PUEBLO,INSTITUTO DE EDUCACION MEDIA SUPERIOR DE LA CDMX,611162,Escuelas de educación media superior del sector público,6 a 10 personas,CALLE,REPUBLICA DE VENEZUELA,CALLE,CALLE DEL CARMEN,CALLE,RODRIGUEZ PUEBLA,CALLEJON,CALLEJÓN DE GIRÓN,76,NA,NA,NA,0,NA,COLONIA,CENTRO,NA,NA,NA,06010,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0663,017,NA,GILBERTO.NAVAG@IEMS.EDU.MX,WWW.IEMS.CDMX.GOB.MX,Fijo,19.43697759,-99.12810702000002,2019-11
9208102,09005611162000223000000000U7,BACHILLERATO CDMX PLANTEL TOKIO,NA,611162,Escuelas de educación media superior del sector público,11 a 30 personas,CALLE,TOKIO,AVENIDA,MAGUEY,PRIVADA,NINGUNO,CALLE,TOKIO,13,MZ 23,NA,NA,NA,NA,COLONIA,AMPLIACION MALACATES,NA,NA,NA,07119,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,3318,029,5512949200,NA,NA,Fijo,19.57813631,-99.13430532,2019-11
6258519,09010611171000216010000000U2,BACHILLERATO ALEXANDER BAIN,BACHILLERATO ALEXANDER BAIN SC,611161,Escuelas de educación media superior del sector privado,101 a 250 personas,CALLE,LAS FLORES,CALLE,FLOR DE MARÍA,CALLE,FLOR DE MARÍA,CALLE,RÓMULO OFARRIL,497,NA,NA,NA,0,NA,COLONIA,TLACOPAC,NA,NA,NA,01049,09,Ciudad de México,010,Álvaro Obregón,0001,Álvaro Obregón,103A,001,NA,HAGUILAR@BAB.EDU.MX,WWW.BAB.EDU.MX,Fijo,19.350623,-99.20433832,2010-07
6863841,09010611171000536011025121S3,BACHILLERATO ALEXANDER BAIN,INSTITUTO ALEXANDER BAIN SC,611161,Escuelas de educación media superior del sector privado,31 a 50 personas,CALLE,FLOR DE MARÍA,CALLE,LAS FLORES,CERRADA,MONTE FÉNIX,CALLE,RÓMULO OFARRIL,497,NA,NA,NA,0,NA,COLONIA,TLACOPAC SAN ANGEL,NA,NA,NA,01070,09,Ciudad de México,010,Álvaro Obregón,0001,Álvaro Obregón,103A,001,NA,BACHILLERATO@ALEXANDER-BAIN.EDU.MX,WWW.ALEXANDER-BAIN.EDU.MX,Fijo,19.35026042,-99.20458508,2019-04
855761,09015611162000031001000000U3,BACHILLERATO A DISTANCIA,SECRETARIA DE EDUCACION PÚBLICA SEP,611162,Escuelas de educación media superior del sector público,6 a 10 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),EJE VIAL,2 NORTE (MANUEL GONZALEZ),AVENIDA,RICARDO FLORES MAGON,CALLE,LERDO,0,SN,NA,NA,0,NA,CONJUNTO HABITACIONAL,NONOALCO TLATELOLCO,NA,NA,NA,06900,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0428,002,NA,NA,WWW.EAD.CDMX.GOB.MX,Fijo,19.45195141,-99.13864837,2010-07
939222,09013611162000081001000000U3,BACHILLERATO A DISTANCIA,GOBIERNO DEL DISTRITO FEDERAL,611162,Escuelas de educación media superior del sector público,6 a 10 personas,CALLE,IGNACIO ZARAGOZA,CALLE,AVENIDA DE LA PAZ,CALLE,MELCHOR OCAMPO,CALLE,HERMENEGILDO GALEANA (NIÑOS HÉROES),0,SN,NA,NA,0,NA,COLONIA,CALYEQUITA,NA,NA,NA,16750,09,Ciudad de México,013,Xochimilco,0001,Xochimilco,0565,006,NA,NA,NA,Fijo,19.25264947,-99.01228754000002,2014-12
6304668,09015611411000242001000000U7,BACHILLERATO SENDA DOS MIL,ESCUELA INTERNACIONAL DE NUEVAS PROFESIONES SC,611161,Escuelas de educación media superior del sector privado,6 a 10 personas,EJE VIAL,3 PONIENTE (SALAMANCA),CALLE,DURANGO,CALLE,CERRADA SALAMANCA,CALLE,COZUMEL,69,NA,EDIFICIO SIN NOMBRE,PISO 7,NA,NA,COLONIA,ROMA NORTE,NA,NA,NA,06700,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,1093,014,NA,NA,NA,Fijo,19.41886281,-99.16962576,2010-07
793090,09007611162000032001000000U8,BACHILLERATO DE SISTEMA ABIERTO NUMERO 3,NA,611162,Escuelas de educación media superior del sector público,6 a 10 personas,CALLE,FRANCISCO VILLA,CALLE,PLAN DE SAN LUIS,CALLE,PASCUAL OROZCO (ANDADOR 1),CALLE,AQUILES SERDÁN,1,MZ 54,NA,NA,NA,NA,COLONIA,EJIDOS DE SANTA MARIA AZTAHUACAN,NA,NA,NA,09570,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,1509,011,NA,NA,NA,Fijo,19.35388958,-99.03608,2010-07
6696217,09002611312000051010000000U0,AZCAPOTZALCO BUFETE JURÍDICO,UNIVERSIDAD AUTONOMA METROPOLITANA,611162,Escuelas de educación media superior del sector público,0 a 5 personas,CALLE,San José,AVENIDA,Fresno,AVENIDA,El Rosario,CALZADA,Calz. De los Angeles,0,NA,NA,NA,0,NA,PUEBLO,SAN MARTIN XOCHINAHUAC,NA,NA,NA,02120,09,Ciudad de México,002,Azcapotzalco,0001,Azcapotzalco,0186,009,NA,NA,http://cosei.azc.uam.mx/exp_juridicos.php,Fijo,19.49867864,-99.19240518,2016-01
1060764,09007611161000113001000000U8,COLEGIO INTERAMERICANO BARNARD,TECNOLOGICO FEMENINO DE ORIENTE,611161,Escuelas de educación media superior del sector privado,11 a 30 personas,CALLE,JUSTIMA,CALLE,AHOME,CALZADA,GENERAL IGNACIO ZARAGOZA,CALLE,ZACANI,9,NA,NA,NA,NA,NA,COLONIA,SAN LORENZO XICOTENCATL,NA,NA,NA,09130,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,0271,027,NA,NA,NA,Fijo,19.3818788,-99.02914782,2010-07
6707731,09012611162000045011000000U0,COLEGIO HIGHLANDS,CENTRO EDUCATIVO BOSTON SC,611161,Escuelas de educación media superior del sector privado,51 a 100 personas,CALLE,RINCONADA URANIO,CALLE,TEMAX,CALLE,FUENTE DE LOS MOLINOS,CALLE,FUENTE DE LA LUNA,41,NA,NA,NA,NA,NA,COLONIA,LOS FRAMBOYANES,NA,NA,NA,14150,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,1369,026,NA,NA,HIGHLANDS.EDU.MX,Fijo,19.30601032,-99.22144511,2016-01
1047582,09011611161000013000000000U2,CENTRO EDUCATIVO LAZARO CARDENAS,CENTRO EDUCATIVO LAZARO CARDENAS SC,611161,Escuelas de educación media superior del sector privado,11 a 30 personas,CALLE,RICARDO MONGES LOPEZ,CALLE,EL BARON GITANO (MANUEL ACUÑA),CALLE,CABALLERIA RUSTICANA (VICTOR HUGO),CALLE,JACOBO POLACO (GUADALUPE VICTORIA),NA,SN,NA,NA,NA,NA,COLONIA,LA NOPALERA,NA,NA,NA,13220,09,Ciudad de México,011,Tláhuac,0001,Tláhuac,0626,014,5558638593,PREPACELC@HOTMAIL.COM,NA,Fijo,19.29394798,-99.05531917999998,2010-07
9277002,09015611162000241000000000U8,"ANEXO ""TEATRO DE LA PAZ""",UNIVERSIDAD AUTONOMA METROPOLITANA,611162,Escuelas de educación media superior del sector público,0 a 5 personas,CALLE,Cozumel,CALLE,Durango,CALLE,Sinaloa,AVENIDA,Sonora,35,B,NA,NA,0,NA,COLONIA,ROMA NORTE,NA,NA,NA,06700,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,1089,004,NA,NA,http://www.uam.mx/_serv_comunidad/centros_culturales.html,Fijo,19.41946875,-99.17110403000001,2020-11
9277000,09012611162000131000000000U8,ALMACEN EX-TIENDA UAM,UNIVERSIDAD AUTONOMA METROPOLITANA,611162,Escuelas de educación media superior del sector público,0 a 5 personas,CALZADA,Manzana o Edificación Contigua,CALLE,Chaparral,CALZADA,Calzada de los Tenorios,CALLE,Trigales,0,SN,NA,NA,0,NA,COLONIA,EX HACIENDA DE VILLA DEL SUR COAPA,NA,NA,NA,14309,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,1922,029,NA,NA,http://www.uam.mx/,Fijo,19.29786326,-99.12090768,2020-11
6318010,09004611161000035001000000U0,CENTRO EDUCATIVO EM MANUEL MOUNIER,TALENTUM CENTRO EDUCATIVO AC,611161,Escuelas de educación media superior del sector privado,31 a 50 personas,CALLE,Jesús del Monte,AVENIDA,JOSE MARIA CASTORENA,PRIVADA,JESUS DEL MONTE,CALLE,MONTE ALEGRE,101,NA,NA,NA,0,NA,COLONIA,CUAJIMALPA DE MORELOS,NA,NA,NA,05260,09,Ciudad de México,004,Cuajimalpa de Morelos,0001,Cuajimalpa de Morelos,0354,009,NA,NA,WWW.CENTROEDUCATIVOEMMANUELMUNIER.EDU.MX,Fijo,19.36205281,-99.29318684,2010-07
685048,09016611161000043000000000U8,CENTRO EDUCATIVO ANAHUAC,CENTRO EDUCATIVO ANAHUAC AC,611161,Escuelas de educación media superior del sector privado,31 a 50 personas,AVENIDA,GENERAL MARIANO ESCOBEDO,CALLE,LAGO GARDA,AVENIDA,MARINA NACIONAL,CALLE,LAGO ISEO,116,NA,NA,NA,NA,NA,COLONIA,ANAHUAC,NA,NA,NA,11320,09,Ciudad de México,016,Miguel Hidalgo,0001,Miguel Hidalgo,0177,021,5555271565,CEDUCA2@PRODIGY.NET.MX,WWW.CEDUCA.EDU.MX,Fijo,19.44889113,-99.18212651,2010-07
7400473,09016611162000082000000000U4,CENTRO DE SERVICIOS DEPREPARATORIA ABIERTA NO 1,DIRECCION GENERAL DE BACHILLERATO SEP,611162,Escuelas de educación media superior del sector público,6 a 10 personas,CALLE,MAESTRO RURAL,CALLE,SALVADOR DIAZ MIRON,AVENIDA,CALZADA MEXICO TACUBA,AVENIDA,AVENIDA DE LOS MAESTROS,57,A,NA,NA,0,NA,COLONIA,UN HOGAR PARA NOSOTROS,NA,NA,NA,11330,09,Ciudad de México,016,Miguel Hidalgo,0001,Miguel Hidalgo,0088,006,NA,NA,NA,Fijo,19.44885263,-99.17007907,2019-11
8386659,09003611162000132000000000U5,CENTRO DE SERVICIOS DE PREPERATORIA ABIERTA NUMERO 7 COYONET,GOBIERNO FEDERAL,611162,Escuelas de educación media superior del sector público,6 a 10 personas,CALLE,DIAGONAL SANTA URSULA,CALLE,SAN PABLO,AVENIDA,SANTA ÚRSULA,CALLE,DIAGONAL SANTA ÚRSULA,NA,SN,NA,NA,NA,SN,COLONIA,PEDREGAL DE SANTA URSULA,NA,NA,NA,04600,09,Ciudad de México,003,Coyoacán,0001,Coyoacán,0978,018,NA,NA,NA,Fijo,19.31099241,-99.15741729,2019-11
827602,09007611161000211000000000S0,ESCUELA DE ARTE Y DISEÑO,INSTITUTO COMERCIAL TOMAS ALVA EDISON,611161,Escuelas de educación media superior del sector privado,0 a 5 personas,AVENIDA,TLAHUAC,CALLE,INDEPENDENCIA,CALLE,JACOBO WATT,CALLE,VICENTE GUERRERO,3636,NA,EDIFICIO SIN NOMBRE,PISO 3,0,NA,COLONIA,PUEBLO CULHUACAN,NA,NA,NA,09800,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,1778,023,NA,MARTHA_CZ@YAHOO.COM.MX,WWW.DEMODA.COM.MX,Fijo,19.336115,-99.108875,2010-07
1010427,09015611161000021000000000U6,ESCUELA CETEC,NA,611161,Escuelas de educación media superior del sector privado,11 a 30 personas,AVENIDA,RIBERA DE SAN COSME,AVENIDA,INSURGENTES NORTE,CALLE,DOCTOR ENRIQUE GONZALEZ MARTINEZ,CALLE,MANUEL OROZCO Y BERRA,7,NA,NA,NA,NA,NA,COLONIA,BUENAVISTA,NA,NA,NA,06300,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0606,011,NA,INSTITUTOCTEC_@HOTMAIL.COM,WWW.INSTITUTOCTEC.EDU.MX,Fijo,19.44035148,-99.15636461,2010-07
9303694,09013611162000141000000000U5,CIBAC,UNIVERSIDAD AUTONOMA METROPOLITANA,611162,Escuelas de educación media superior del sector público,0 a 5 personas,NA,ANTIGUO CANAL DE CUEMANCO,OTRO (ESPECIFIQUE),Lago Xochimilco,AVENIDA,Antiguo Canal Cuemanco,CALLE,Virgilio Uribe,3,NA,NA,NA,0,NA,OTRO (ESPECIFIQUE),VIRGILIO URIBE,NA,NA,NA,16034,09,Ciudad de México,013,Xochimilco,0001,Xochimilco,0052,001,NA,NA,http://www.xoc.uam.mx/investigacion/cibac,Fijo,19.28419275,-99.10244778,2020-11
723757,09007611162000225000000000U8,CETIS 6 TURNO VESPERTINO,NA,611162,Escuelas de educación media superior del sector público,51 a 100 personas,CALLE,CUITLAHUAC,AVENIDA,TLAHUAC,CALLE,AXAYACATL,CALLE,MOCTEZUMA,50,NA,NA,NA,NA,NA,COLONIA,LOS REYES CULHUACAN,NA,NA,NA,09840,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,1388,012,NA,CETIS006.DIR@UEMSTIS.SEMS.GOB.MX,NA,Fijo,19.34517911,-99.10509135000001,2014-12
8917606,09006611162000063000000000U5,CETIS 76,CENTRO DE ESTUDIOS TECNOLOGICOS,611162,Escuelas de educación media superior del sector público,11 a 30 personas,CALZADA,2 ORIENTE (CALZADA DE LA VIGA),CALLE,GUILLERMO PRIETO,CALLE,SEBASTIAN LERDO DE TEJADA,CALLE,JOSE MARIA FRAGUA,1040,NA,NA,NA,0,NA,COLONIA,CAMPAMENTO 2 DE OCTUBRE,NA,NA,NA,08930,09,Ciudad de México,006,Iztacalco,0001,Iztacalco,1056,001,NA,NA,NA,Fijo,19.3847662,-99.1204578,2019-11
8693691,09006611162000055000000000U1,CETIS 76,CENTRO DE ESTUDIOS TECNOLOGICOS TURNO VESPERTINO,611162,Escuelas de educación media superior del sector público,51 a 100 personas,CALZADA,2 ORIENTE (CALZADA DE LA VIGA),CALLE,GUILLERMO PRIETO,CALLE,SEBASTIAN LERDO DE TEJADA,CALLE,JOSE MARIA LA FRAGUA,1040,NA,NA,NA,0,NA,COLONIA,CAMPAMENTO 2 DE OCTUBRE,NA,NA,NA,08930,09,Ciudad de México,006,Iztacalco,0001,Iztacalco,1056,001,NA,NA,NA,Fijo,19.3847662,-99.1204578,2019-11
793502,09006611152000076000000000U8,CETIS 76 MATUTINO,GOBIERNO,611162,Escuelas de educación media superior del sector público,101 a 250 personas,EJE VIAL,2 ORIENTE (CALZADA DE LA VIGA),CALLE,SEBASTIAN LERDO DE TEJADA,AVENIDA,JUAN ÁLVAREZ,EJE VIAL,2 ORIENTE (CALZADA DE LA VIGA),1040,NA,NA,NA,NA,SN,COLONIA,MARTIRES DE TLATELOLCO,NA,NA,NA,08930,09,Ciudad de México,006,Iztacalco,0001,Iztacalco,1056,001,5556546292,CETIS076.DIR@LIVE-EDUC.SEMS.GOB.MX,NA,Fijo,19.38438931,-99.12219899,2014-12
1044232,09015611152000076001000000U9,CETIS NUM 3 TURNO MATUTINO,CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIALES Y DE SERVICIOS NUMERO 3,611162,Escuelas de educación media superior del sector público,101 a 250 personas,CALLE,XOCONGO,CALLE,MANUEL GUTIERREZ NAJERA,CALLE,JOSE MARIA AGREDA Y SANCHEZ,CALLE,FRANCISCO J. CLAVIJERO,26,NA,NA,NA,NA,NA,COLONIA,TRANSITO,NA,NA,NA,06820,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,1163,004,5557407775,NA,NA,Fijo,19.41520438,-99.13227732,2010-07
900250,09015611162000105000000000U5,CETIS NUMERO 3,CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIALES Y DE SERVICIOS NUMERO 3 TURNO VESPERTINO,611162,Escuelas de educación media superior del sector público,51 a 100 personas,CALLE,XOCONGO,CALLE,MANUEL GUTIERREZ NAJERA,CALLE,JOSE MARIA AGREDA Y SANCHEZ,CALLE,FRANCISCO J. CLAVIJERO,26,NA,NA,NA,NA,NA,COLONIA,TRANSITO,NA,NA,NA,06820,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,1163,004,NA,NA,NA,Fijo,19.41520438,-99.13227732,2014-12
1027072,09009611152000015000000000U0,CETIS 167 CENTRO DE ESTUDIOS TECNOLOGICOS HERMANOS FLORES MAGON,SECRETARIA DE EDUCACION PUBLICA,611162,Escuelas de educación media superior del sector público,51 a 100 personas,CALLE,INDEPENDENCIA,CERRADA,INDEPENDENCIA,CALLE,PROLONGACION BENITO JUAREZ,CALLE,CULTIVO,NA,SN,NA,NA,NA,NA,PUEBLO,SAN SALVADOR CUAUHTENCO,NA,NA,NA,12300,09,Ciudad de México,009,Milpa Alta,0033,San Salvador Cuauhtenco,0350,033,5558624072,CETIS167.SUBDIC@UEMTIS.SEMS.GOB.MX,CETIS167MA.BLOCSPOC.MX,Fijo,19.1934557,-99.09720746,2010-07
